59160.2267961	7.25120193934e-09	6.59543875993e-12	7.06171197364e-09	6.37811878233e-12	6.5328095883e-09	6.35268389444e-12
59161.2596549	9.1535593127e-09	1.05198188353e-11	8.88423422872e-09	1.09106333372e-11	8.19822814604e-09	1.08354076568e-11
59162.29256	9.22210366959e-09	1.54014683656e-11	8.93634650267e-09	1.45647139843e-11	8.23758672762e-09	1.46783486531e-11
59163.1319003	1.13286980119e-08	1.08218410285e-11	1.09981591527e-08	1.03100270949e-11	1.01479892852e-08	1.0286372544e-11
59164.3587406	1.34468326506e-08	7.51383124843e-12	1.30815739315e-08	7.2783499684e-12	1.20906597607e-08	7.24476246824e-12
59165.0041341	1.47343166877e-08	2.1930933615e-11	1.43783814167e-08	2.1649451357e-11	1.33315301748e-08	2.15489799571e-11
59166.1047359	2.26929000342e-08	1.6005223369e-11	2.22505115463e-08	1.59766602184e-11	2.07950514878e-08	1.5915409274e-11
59167.3408933	3.21788115206e-08	2.49187628658e-11	3.16854587988e-08	2.37142115149e-11	2.98338979607e-08	2.36989374517e-11
59168.0515415	4.06742918037e-08	3.0251777396e-11	3.99944749761e-08	2.68863253366e-11	3.75353093943e-08	2.51978835052e-11
59169.1495507	4.71281074607e-08	3.35547713285e-11	4.6335088835e-08	3.35926399735e-11	4.3498071219e-08	2.69420005991e-11
59170.0371086	5.20678925566e-08	4.79322804878e-11	5.14256749005e-08	4.79657480374e-11	4.86440806671e-08	4.78933476076e-11
59171.0760785	5.76726623152e-08	3.71283175682e-11	5.69128062136e-08	3.43568973214e-11	5.37811395375e-08	4.11522863507e-11
59172.1737753	5.49363751361e-08	4.1891800231e-11	5.42675231263e-08	4.2000812941e-11	5.13688685423e-08	4.20285960633e-11
59173.013023	5.57352559685e-08	3.17366881243e-11	5.50833062621e-08	3.09392488244e-11	5.22853476467e-08	3.16165032383e-11
59174.1104188	5.796688993e-08	2.93080137205e-11	5.6957379496e-08	3.05572857465e-11	5.34453591681e-08	3.14101343009e-11
59176.1050484	5.62872459751e-08	4.99288480146e-11	5.49136106318e-08	3.49264167492e-11	5.07457879081e-08	2.6978437171e-11
59177.1379188	5.30737775702e-08	4.93116378191e-11	5.18179228422e-08	3.52449934147e-11	4.79324910667e-08	2.74558161017e-11
59179.6554535	4.87539715991e-08	3.35843151903e-11	4.80662233315e-08	3.36755654469e-11	4.53492386225e-08	3.36058462167e-11
59180.0427568	4.86608846392e-08	3.1326616305e-11	4.79656130972e-08	2.86598340692e-11	4.5287672368e-08	2.75994793287e-11
59181.4628956	4.3205595961e-08	2.26289114814e-11	4.263831169e-08	2.12916529535e-11	4.03682571794e-08	2.0756159563e-11
59182.2372359	4.17205475911e-08	2.42182780519e-11	4.11159188286e-08	2.185689213e-11	3.8798952446e-08	2.08599659741e-11
59183.2701063	3.82155399376e-08	3.52093093167e-11	3.76157737838e-08	3.52082156643e-11	3.53809915647e-08	3.5118231934e-11
59186.045604	3.29624891615e-08	2.65235787395e-11	3.24048488455e-08	2.65311625328e-11	3.04102506683e-08	2.64532691884e-11
59187.0784165	3.06542009471e-08	1.65756576182e-11	3.01217361486e-08	2.54446276853e-11	2.82221437748e-08	2.54425883057e-11
59188.1119813	2.86477158263e-08	2.21111486749e-11	2.81144764206e-08	2.21016908989e-11	2.62869379503e-08	2.20301577728e-11
59189.0798169	2.76191303674e-08	2.85850489895e-11	2.71112786059e-08	2.8580962634e-11	2.53629636924e-08	2.84190085916e-11
59190.0483239	2.47707981277e-08	1.98341449689e-11	2.42694536682e-08	1.97853318927e-11	2.26224689081e-08	1.97073209085e-11
59191.469435	2.39100233369e-08	1.85426830862e-11	2.3411540953e-08	1.84994902749e-11	2.18167472349e-08	1.84270095782e-11
59192.3743656	1.96069481337e-08	2.41556486059e-11	1.91315430783e-08	2.3922441142e-11	1.77235208296e-08	2.3808791418e-11
59193.0851063	2.04776445375e-08	2.66193062674e-11	1.99792876663e-08	2.63072195533e-11	1.85229434142e-08	2.616059229e-11
59194.1840762	1.83442516712e-08	3.15015613838e-11	1.78385684834e-08	3.21010001487e-11	1.6445610494e-08	3.14162206644e-11
59206.9275369	2.22208158363e-09	9.67600602693e-12	2.12348892362e-09	8.87355967177e-12	1.88195831647e-09	9.09385011438e-12
59206.9938563	1.94209289757e-09	6.91047482936e-12	1.85459890915e-09	6.50467072549e-12	1.64126988169e-09	6.45822206104e-12
59208.8007776	1.25660852008e-09	7.1214796229e-12	1.2110721022e-09	6.92531707494e-12	1.08193208473e-09	6.80285649267e-12
59209.1734165	8.80724342392e-10	4.43917844848e-12	8.43859220287e-10	4.11714676692e-12	7.5063705597e-10	4.06790283706e-12
59210.8539026	4.70522071112e-10	3.07986228023e-12	4.55910925702e-10	3.03607900255e-12	4.07990452349e-10	3.01240446726e-12
59213.3030345	1.70616095881e-10	5.96593701015e-12	1.67282303444e-10	5.93433888558e-12	1.50508143912e-10	5.89776815718e-12
59214.270766	2.56808858241e-10	1.12192925554e-12	2.44607630125e-10	1.13425284896e-12	2.16555889803e-10	1.11657065959e-12
59214.987097	1.8571201407e-10	1.2754524293e-12	1.74200741786e-10	1.28803961657e-12	1.50806478915e-10	1.27501522428e-12
59216.335847	2.15963322361e-10	7.69949223647e-13	2.04404286963e-10	7.82775504257e-13	1.79287495284e-10	7.7871445555e-13
59217.3682197	2.60003982415e-10	1.15120356346e-12	2.45188445381e-10	1.19595497931e-12	2.14496396246e-10	1.14704823773e-12
