# Swift-BAT daily average light curve for 1A 0535+262                   
# Generated Wed Jul 14 11:05:52 UTC 2021
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      53488      -0.00047343     0.00493853   2005         118     0.00422817    -0.00001657      0     216.00000000   175.50000000   216.00000000
      53489      -0.00057422     0.00125666   2005         119     0.00107577    -0.00002010      0    2880.00000000  2320.00000000     0.00000000
      53491       0.00457482     0.00765169   2005         121     0.00654967     0.00016012      0     192.00000000    85.50000000   192.00000000
      53493       0.00303338     0.00291655   2005         123     0.00249539     0.00010617      0    1184.00000000   499.50000000     0.00000000
      53504       0.09791136     0.00511082   2005         134     0.00324631     0.00342690      0    2672.00000000   392.10937500     0.00000000
      53505       0.07232773     0.00398111   2005         135     0.00263065     0.00253147      0    3800.00000000   557.10937500     0.00000000
      53506       0.08654740     0.00439951   2005         136     0.00273167     0.00302916      0    3296.00000000   483.59375000     0.00000000
      53511       0.26794629     0.01166632   2005         141     0.00594118     0.00937812      0     264.00000000   156.75000000   264.00000000
      53514       0.36652915     0.01400232   2005         144     0.00480477     0.01282852      0     600.00000000   239.40625000     0.00000000
      53515       0.43859323     0.01604711   2005         145     0.00400332     0.01535076      0     792.00000000   349.59375000     0.00000000
      53516       0.53431241     0.01949328   2005         146     0.00470992     0.01870093      0     536.00000000   220.75000000     0.00000000
      53517       0.62386980     0.02269829   2005         147     0.00530722     0.02183544      0     568.00000000   217.18750000   568.00000000
      53518       0.79785842     0.03137580   2005         148     0.01224742     0.02792504      0     392.00000000    94.93750000   392.00000000
      53519       0.86035270     0.03027604   2005         149     0.00269187     0.03011234      0    4696.00000000  1247.37500000   856.00000000
      53527       1.09773442     0.03899870   2005         157     0.00572720     0.03842070      0    2880.00000000   360.12500000     0.00000000
      53528       1.02250764     0.03602768   2005         158     0.00355382     0.03578777      0    6008.00000000   751.00000000     0.00000000
      53548       0.06592845     0.00703739   2005         178     0.00569207     0.00230750      0    1864.00000000   247.56250000  1864.00000000
      53549       0.03699158     0.00461668   2005         179     0.00379403     0.00129471      0    1728.00000000   344.25000000  1728.00000000
      53550       0.02437561     0.00391148   2005         180     0.00326824     0.00085315      0    1768.00000000   376.39062500  1768.00000000
      53551       0.02318494     0.00249688   2005         181     0.00202169     0.00081147      0    4896.00000000   963.01562500  4640.00000000
      53552       0.01937494     0.00421408   2005         182     0.00356093     0.00067812      0    1432.00000000   234.62500000     0.00000000
      53553       0.01565866     0.00191879   2005         183     0.00157437     0.00054805      0    8720.00000000  1429.82812500     0.00000000
      53554       0.01238560     0.00129960   2005         184     0.00104895     0.00043350      0   13752.00000000  3107.54687500     0.00000000
      53555       0.00960790     0.00127063   2005         185     0.00104908     0.00033628      0   13984.00000000  3154.42187500     0.00000000
      53556       0.00734704     0.00124312   2005         186     0.00104129     0.00025715      0   13832.00000000  3133.81250000     0.00000000
      53557       0.00313863     0.00128707   2005         187     0.00109792     0.00010985      0   11280.00000000  2788.21875000  1608.00000000
      53558       0.00185529     0.00152811   2005         188     0.00130713     0.00006493      0    5696.00000000  1886.84375000  3808.00000000
      53559       0.00365416     0.00093011   2005         189     0.00078876     0.00012790      0   20848.00000000  5556.51562500  2040.00000000
      53560       0.00187394     0.00099793   2005         190     0.00085254     0.00006559      0   19328.00000000  5399.71875000  2304.00000000
      53561       0.00235429     0.00110102   2005         191     0.00094001     0.00008240      0   15752.00000000  4524.56250000  1928.00000000
      53562       0.00210229     0.00118626   2005         192     0.00101368     0.00007358      0   10856.00000000  3360.54687500  1912.00000000
      53563       0.00059210     0.00109272   2005         193     0.00093538     0.00002072      0   16736.00000000  5400.75000000  2288.00000000
      53564       0.00282777     0.00122499   2005         194     0.00104537     0.00009897      0   10792.00000000  3716.87500000  1528.00000000
