# Observatory | Observation number | ObsID/mode | MJD | Exposure [sec] | Fitted band [keV] | Flux [0.5-10 keV; erg/s/cm^2] | Flux error [same units] | Nh [1e22 cm^-2] | Nh + error | Nh - error | kT [keV] | kT + error | kT - error | bbodyrad norm | bbodyrad norm + error | bbodyrad norm - error | power law index | power law index + error | power law index - error | power law norm [photons/keV/cm$^2$/s at 1 keV] | power law norm + error | power law norm - error | Reduced chi2 | Degrees of Freedom
Swift	17	00013945018/wt	59256.26	917.0	1-10	7.79e-10	1.21e-11	7.43e-01	2.46e-01	2.34e-01	1.32e+00	8.54e-02	7.81e-02	1.52e+01	2.33e+00	3.60e+00	1.42e+00	3.82e-01	4.24e-01	3.59e-02	1.64e-02	1.98e-02	1.05	751
Swift	18	00013945019/wt	59259.24	933.0	1-10	1.01e-09	1.15e-11	1.06e+00	2.23e-01	2.47e-01	1.43e+00	9.69e-02	7.02e-02	1.39e+01	1.80e+00	2.48e+00	1.66e+00	3.50e-01	4.90e-01	6.59e-02	2.18e-02	3.27e-02	0.84	772
Swift	19	00013945020/wt	59263.43	790.0	1-10	3.58e-10	8.73e-12	1.38e+00	3.93e-01	3.88e-01	1.35e+00	2.02e-01	1.40e-01	4.16e+00	1.39e+00	2.47e+00	1.92e+00	4.49e-01	5.78e-01	4.25e-02	1.88e-02	2.81e-02	0.99	645
Swift	20	00013945021/wt	59269.2	950.0	1-10	5.18e-10	9.78e-12	1.35e+00	2.83e-01	3.48e-01	1.37e+00	1.73e-01	1.16e-01	6.18e+00	1.43e+00	2.32e+00	1.84e+00	4.03e-01	6.79e-01	5.38e-02	1.92e-02	3.59e-02	1.08	699
Swift	21	00013945022/wt	59272.58	908.0	1-10	5.59e-10	9.99e-12	7.04e-01	3.13e-01	3.17e-01	1.35e+00	1.04e-01	9.03e-02	1.02e+01	1.76e+00	2.95e+00	1.46e+00	4.95e-01	6.23e-01	2.60e-02	1.42e-02	2.03e-02	0.92	739
Swift	22	00013945023/wt	59275.84	883.0	1-10	8.46e-10	1.18e-11	9.79e-01	2.57e-01	2.59e-01	1.34e+00	1.00e-01	8.67e-02	1.42e+01	2.31e+00	3.65e+00	1.54e+00	3.64e-01	4.51e-01	5.03e-02	2.05e-02	2.68e-02	0.97	749
Swift	23	00013945024/wt	59278.95	1043.0	1-10	5.36e-10	7.67e-12	1.19e+00	2.62e-01	2.89e-01	1.29e+00	1.30e-01	1.13e-01	8.39e+00	1.77e+00	3.03e+00	1.68e+00	3.43e-01	5.16e-01	4.62e-02	1.70e-02	2.54e-02	1.0	714
Swift	24	00013945025/wt	59281.35	15.0	1-10	1.00e-08	2.93e-09	4.18e-01	4.18e-01	3.54e+00	1.41e+00	1.41e+00	2.12e+00	5.61e+00	5.61e+00	2.62e+02	4.03e-01	4.03e-01	4.03e-01	2.27e-06	2.27e-06	2.49e+00	0.11	248
Swift	25	00013945026/wt	59284.93	928.0	1-10	3.56e-10	1.01e-11	4.26e-01	2.98e-01	3.39e-01	1.19e+00	5.32e-02	8.50e-02	1.35e+01	3.34e+00	2.73e+00	6.40e-01	6.40e-01	1.07e+00	2.92e-03	2.92e-03	1.50e-02	0.99	699
Swift	26	00013945027/pc	59292.1	350.0	1-10	1.34e-09	6.90e-11	8.58e-01	2.65e-01	2.74e-01	3.94e-03	3.94e-03	3.94e-03	9.43e+16	9.43e+16	9.43e+16	1.14e+00	1.57e-01	1.60e-01	1.08e-01	2.23e-02	2.85e-02	0.8	345
