# Observatory | Observation number | ObsID/mode | MJD | Exposure [sec] | Fitted band [keV] | Flux [0.5-10 keV; erg/s/cm^2] | Flux error [same units] | Nh [1e22 cm^-2] | Nh + error | Nh - error | kT [keV] | kT + error | kT - error | bbodyrad norm | bbodyrad norm + error | bbodyrad norm - error | cutoff power law index | cutoff power law index + error | cutoff power law index - error | E-folding energy [keV] | E-folding energy + error | E-folding energy - error | cutoff power law norm [photons/keV/cm$^2$/s at 1 keV] | cutoff power law norm + error | cutoff power law norm - error | 1st Gaussian energy [keV] | Energy + error | Energy - error | 1st Gaussian sigma [keV] | Sigma + error | Sigma - error | 1st Gaussian norm [photons/cm$^2$/s] | Norm + error | Norm - error | 2nd Gaussian energy [keV] | Energy + error | Energy - error | 2nd Gaussian sigma [keV] | Sigma + error | Sigma - error | 2nd Gaussian norm [photons/cm$^2$/s] | Norm + error | Norm - error | 3rd Gaussian energy [keV] | Energy + error | Energy - error | 3rd Gaussian sigma [keV] | Sigma + error | Sigma - error | 3rd Gaussian norm [photons/cm$^2$/s] | Norm + error | Norm - error | Reduced chi2 | Degrees of Freedom
# NaN implies Gaussian not included in model.
NICER	11	3200360133	59170.04	1333.0	2-10	5.21e-08	4.79e-11	2.00e-01	6.00e-03	6.17e-03	6.25e-01	5.62e-03	5.68e-03	2.85e+03	4.82e+01	4.75e+01	-7.40e-01	6.03e-02	5.81e-02	5.62e+00	2.58e-01	2.75e-01	5.02e-01	2.79e-02	2.85e-02	6.42e+00	8.70e-03	8.59e-03	8.92e-02	1.17e-02	1.13e-02	2.78e-02	2.35e-03	2.17e-03	6.68e+00	1.34e-02	1.18e-02	5.03e-02	1.87e-02	1.88e-02	1.17e-02	1.92e-03	2.26e-03	6.99e+00	2.14e-02	1.97e-02	6.35e-02	2.88e-02	2.80e-02	5.75e-03	1.08e-03	1.20e-03	1.82	884
NICER	12	3200360134	59171.08	2918.0	2-10	5.77e-08	3.71e-11	1.76e-01	3.75e-02	1.08e-01	5.97e-01	1.15e-02	2.04e-02	3.01e+03	3.03e+02	2.40e+02	-4.75e-01	9.14e-02	4.71e-02	7.04e+00	5.59e-01	3.31e-01	7.20e-01	6.38e-02	3.50e-02	6.42e+00	5.83e-03	7.21e-03	1.02e-01	9.79e-03	9.68e-03	3.17e-02	2.06e-03	1.93e-03	6.70e+00	8.81e-03	7.53e-03	5.80e-02	1.36e-02	1.11e-02	1.53e-02	2.00e-03	1.80e-03	6.98e+00	1.44e-02	9.67e-03	4.90e-02	2.16e-02	2.66e-02	7.25e-03	9.05e-04	1.32e-03	1.84	784
NICER	13	3200360135	59172.17	1814.0	2-10	5.49e-08	4.19e-11	1.93e-01	5.65e-03	5.37e-03	6.19e-01	4.75e-03	5.18e-03	2.94e+03	4.18e+01	4.22e+01	-7.31e-01	5.20e-02	4.54e-02	5.55e+00	2.20e-01	2.08e-01	5.49e-01	2.63e-02	2.41e-02	6.42e+00	6.99e-03	6.04e-03	7.68e-02	9.09e-03	7.88e-03	2.72e-02	1.99e-03	1.54e-03	6.69e+00	7.62e-03	8.43e-03	5.67e-02	1.44e-02	2.05e-02	1.61e-02	1.70e-03	2.50e-03	6.97e+00	1.48e-02	2.17e-02	4.87e-02	4.87e-02	2.21e-02	6.53e-03	1.24e-03	1.11e-03	1.87	884
NICER	14	3200360136	59173.01	3451.0	2-10	5.57e-08	3.17e-11	3.30e-02	3.30e-02	3.29e-03	6.44e-01	1.09e-03	7.01e-03	2.28e+03	6.01e+01	7.30e+00	-6.73e-01	2.50e-01	2.91e-01	7.53e+00	6.93e-02	3.48e-01	7.72e-01	1.20e-02	2.85e-02	6.42e+00	7.30e-03	2.68e-03	1.60e-02	1.60e-02	1.08e-02	9.01e-03	7.46e-04	9.46e-04	6.52e+00	2.12e-02	3.46e-02	2.95e-01	4.60e-02	2.04e-02	4.92e-02	1.66e-03	1.49e-03	7.00e+00	1.39e-02	1.01e-02	1.73e-04	1.73e-04	2.57e-02	3.06e-03	5.09e-04	5.99e-04	1.9	784
NICER	15	3200360137	59174.11	3397.0	2-10	5.80e-08	2.93e-11	3.13e-01	1.76e-02	1.59e-01	5.37e-01	1.63e-02	1.08e-02	3.76e+03	3.79e+02	5.07e+02	-2.46e-01	5.07e-02	4.85e-02	8.95e+00	5.26e-01	5.77e-01	8.97e-01	4.34e-02	4.37e-02	6.43e+00	5.03e-03	6.57e-03	1.08e-01	7.90e-03	9.04e-03	3.25e-02	1.59e-03	1.78e-03	6.71e+00	7.76e-03	7.11e-03	5.31e-02	2.53e-01	2.81e-01	4.90e-02	4.51e-03	7.36e-03	6.80e+00	6.80e+00	9.16e-03	2.34e-01	7.49e-02	1.88e-01	9.66e-03	9.66e-03	3.26e-03	1.78	784
NICER	16	3200360139	59176.11	8572.0	2-10*	5.63e-08	4.99e-11	1.04e+00	1.36e-01	1.43e-01	4.48e-01	1.22e-02	1.18e-02	9.10e+03	1.47e+03	1.87e+03	5.15e-02	4.06e-02	4.26e-02	1.38e+01	9.93e-01	1.21e+00	1.14e+00	4.56e-02	4.93e-02	6.42e+00	5.61e-03	7.17e-03	1.00e-01	9.18e-03	1.01e-02	2.85e-02	1.65e-03	1.83e-03	6.69e+00	8.51e-03	7.33e-03	4.72e-02	1.50e-02	1.06e-02	1.26e-02	1.87e-03	1.47e-03	6.97e+00	1.60e-02	1.09e-02	8.49e-02	1.39e-02	2.03e-02	9.06e-03	8.58e-04	1.29e-03	0.67	784
NICER	17	3200360140	59177.14	6892.0	2-10*	5.31e-08	4.93e-11	9.91e-01	1.08e-01	1.75e-01	4.50e-01	1.12e-02	1.39e-02	8.52e+03	1.51e+03	1.66e+03	-8.89e-03	4.73e-02	4.15e-02	1.18e+01	8.37e-01	8.75e-01	1.04e+00	4.65e-02	4.53e-02	6.43e+00	6.17e-03	7.13e-03	1.07e-01	9.51e-03	9.23e-03	2.81e-02	1.63e-03	1.66e-03	6.70e+00	1.20e-02	6.88e-03	4.48e-02	1.97e-02	1.24e-02	1.05e-02	1.84e-03	1.45e-03	6.96e+00	1.96e-02	1.15e-02	7.11e-02	1.67e-02	2.36e-02	7.49e-03	8.16e-04	1.37e-03	0.72	784
NICER	18	3200360141	59179.66	2447.0	1-10	4.88e-08	3.36e-11	3.04e-01	5.73e-03	5.85e-03	5.56e-01	4.63e-03	4.57e-03	3.05e+03	4.78e+01	4.79e+01	-4.37e-01	3.60e-02	3.55e-02	6.94e+00	2.47e-01	2.64e-01	6.66e-01	2.12e-02	2.16e-02	6.42e+00	5.65e-03	8.00e-03	8.07e-02	9.56e-03	1.22e-02	2.10e-02	1.38e-03	1.70e-03	6.68e+00	7.91e-03	9.88e-03	4.61e-02	1.88e-02	1.51e-02	1.09e-02	1.58e-03	1.42e-03	6.95e+00	1.32e-02	1.41e-02	6.31e-02	1.71e-02	1.73e-02	6.90e-03	8.58e-04	9.05e-04	1.92	884
NICER	19	3200360142	59180.04	3683.0	2-10	4.87e-08	3.13e-11	2.77e-01	7.63e-02	9.08e-02	5.50e-01	1.77e-02	1.52e-02	2.59e+03	2.81e+02	3.83e+02	-2.67e-01	4.88e-02	5.63e-02	8.60e+00	4.68e-01	6.21e-01	7.60e-01	3.58e-02	4.33e-02	6.41e+00	6.50e-03	6.76e-03	9.67e-02	9.36e-03	9.12e-03	2.22e-02	1.41e-03	1.30e-03	6.67e+00	8.58e-03	7.88e-03	4.78e-02	1.42e-02	1.45e-02	9.77e-03	1.23e-03	1.39e-03	6.97e+00	1.16e-02	1.33e-02	6.56e-02	1.67e-02	1.72e-02	6.37e-03	7.09e-04	7.83e-04	1.61	784
NICER	20	3200360143	59181.46	5783.0	2-10	4.32e-08	2.26e-11	1.32e-01	6.21e-02	7.54e-02	5.70e-01	1.70e-02	1.40e-02	1.86e+03	1.71e+02	2.30e+02	-3.23e-01	4.21e-02	5.12e-02	7.78e+00	3.31e-01	4.53e-01	6.63e-01	2.73e-02	3.46e-02	6.41e+00	4.25e-03	4.96e-03	9.76e-02	6.64e-03	6.68e-03	2.10e-02	8.87e-04	8.72e-04	6.67e+00	7.10e-03	5.77e-03	3.93e-02	1.38e-02	1.08e-02	8.07e-03	8.97e-04	8.26e-04	6.96e+00	1.26e-02	1.12e-02	7.55e-02	1.28e-02	1.66e-02	5.82e-03	5.29e-04	6.74e-04	1.82	784
