# Observatory | Observation number | ObsID/mode | 0.5 - 10 keV flux [erg/s/cm^2] | Error | 1 - 10 keV flux | Error | 2 - 10 keV flux | Error
# All fluxes and errors in the same units as the 0.5-10 keV band
Swift	51	3200360175	1.07e-10	9.54e-13	1.01e-10	9.20e-13	8.75e-11	9.14e-13
Swift	52	3200360176	1.33e-10	2.29e-12	1.22e-10	2.35e-12	1.02e-10	2.33e-12
Swift	53	3200360177	1.10e-10	9.29e-13	1.04e-10	9.16e-13	9.02e-11	9.21e-13
Swift	54	3200360178	1.11e-10	1.58e-12	1.07e-10	1.56e-12	9.31e-11	1.57e-12
Swift	55	3200360179	9.47e-11	7.24e-13	8.76e-11	7.33e-13	7.45e-11	7.28e-13
Swift	56	3200360180	1.13e-10	1.16e-12	1.05e-10	1.19e-12	8.97e-11	1.18e-12
Swift	57	3200360181	1.08e-10	8.86e-13	1.00e-10	9.35e-13	8.57e-11	9.11e-13
Swift	58	3200360182	1.01e-10	1.15e-12	9.61e-11	1.11e-12	8.40e-11	1.10e-12
Swift	59	3200360183	9.52e-11	6.94e-13	9.04e-11	6.30e-13	7.87e-11	6.28e-13
Swift	60	3200360184	8.12e-11	7.73e-13	7.65e-11	7.82e-13	6.60e-11	7.75e-13
Swift	61	3200360185	7.09e-11	9.16e-13	6.58e-11	9.56e-13	5.61e-11	9.52e-13
Swift	62	3200360186	9.06e-11	8.76e-13	8.58e-11	8.63e-13	7.48e-11	8.56e-13
Swift	63	3200360187	7.09e-11	2.12e-12	6.80e-11	2.13e-12	5.89e-11	2.10e-12
Swift	64	3200360188	8.09e-11	7.93e-13	7.67e-11	8.01e-13	6.72e-11	7.92e-13
Swift	65	3200360189	7.87e-11	9.01e-13	7.38e-11	9.22e-13	6.34e-11	9.13e-13
Swift	66	3200360190	9.09e-11	7.60e-13	8.61e-11	7.55e-13	7.53e-11	7.50e-13
Swift	67	3200360191	8.77e-11	1.45e-12	8.26e-11	1.47e-12	7.11e-11	1.47e-12
